Gauge,AWG,SWG
0,8.25,8.23
1,7.35,7.62
2,6.54,7.01
3,5.83,6.40
4,5.19,5.89
5,4.62,5.38
6,4.11,4.88
7,3.67,4.47
8,3.26,4.06
9,2.91,3.66
10,2.59,3.25
11,2.3,2.95
12,2.05,2.64
13,1.83,2.34
14,1.63,2.03
15,1.45,1.83
16,1.29,1.63
17,1.15,1.42
18,1.02,1.22
19,0.912,1.02
20,0.813,0.914
21,0.724,0.813
22,0.643,0.711
23,0.574,0.610
24,0.511,0.559
25,0.455,0.508
26,0.404,0.457
27,0.61,0.417
28,0.320,0.376
29,0.287,0.345
30,0.254,0.315
31,0.226,0.295
32,0.203,0.274
33,0.180,0.254
34,0.160,0.234
35,0.142,0.213
36,0.127,0.193
37,0.114,0.173
38,0.102,0.152
39,0.089,0.132
40,0.079,0.122
41,0.071,0.112
42,0.064,0.102
43,0.056,0.091
44,0.051,0.081
45,0.046,0.071
